latitude,longitude,brightness,daynight,bright_t31,acq_time,frp,confidence
-4.552,-41.144,305.6,N,293.9,40,33.7,65
-4.536,-41.145,313,N,294,40,68.6,86
-4.541,-41.118,306.9,N,293.9,40,38.4,56
-4.545,-41.151,309.8,N,294.1,40,52.8,78
-3.008,-40.338,311.5,N,293.2,40,49.6,75
-3.009,-40.344,315.3,N,293.7,40,64.6,88
-17.817,-40.102,314.4,N,288.6,35,126.8,85
-17.819,-40.106,315.7,N,288.7,35,138.4,89
-9.551,-35.995,310.1,N,291.7,35,21.3,79
-9.54,-35.997,307.3,N,291.5,35,17.8,71
-7.314,-35.147,338.4,N,294.1,35,69.1,100
-7.316,-35.16,303.9,N,292.9,35,8.7,57
-7.309,-35.141,309.9,N,292.8,35,15,79
-7.31,-35.154,322.4,N,293.3,35,33.3,100
-7.128,-35.12,304.1,N,292.7,35,9.4,58
-7.129,-35.133,307.3,N,292.9,35,12.7,71
-6.974,-35.258,315.4,N,292.6,35,23.2,91
51.147,44.653,303.2,N,273.4,5,36.9,54
38.902,28.248,312.4,N,288.1,5,12.9,85
-20.874,16.175,301.9,N,286.6,25,7.1,45
-20.875,16.185,309.6,N,286,25,12.6,78
-22.906,23.673,301.9,N,283.2,25,48.9,45
-22.911,22.166,329.2,N,286.1,25,135.5,100
-22.925,22.164,310.1,N,284.3,25,53.3,79
-23.045,22.486,304.3,N,284.1,25,41,59
-23.048,22.51,301.3,N,284.1,25,30.6,16
30.537,26.088,305.1,N,294.7,10,5.7,63
29.23,19.704,314.2,N,293.1,10,27.4,89
28.916,19.769,313.3,N,294.2,10,26.1,87
28.914,19.786,320.7,N,294.5,10,40.4,100
28.916,19.781,327.3,N,294.5,10,56.1,100
27.987,22.331,312.2,N,295.4,10,14.1,84
-7.361,11.379,305.4,N,289.4,20,15.4,29
-7.644,11.679,305,N,288.7,20,16,11
-15.228,15.25,307.6,N,286.4,20,9.8,72
-15.918,16.973,300.2,N,284.9,20,6.4,19
-16.423,17.521,302.5,N,285.3,20,8.2,49
-17.052,19.942,303.3,N,287.8,20,13.9,54
-18.558,20.226,310.2,N,288.4,20,23.6,79
-18.56,20.242,306.3,N,288.9,20,17.7,68
54.855,34.847,309.2,N,276.9,0,13.4,77
-3.939,143.771,312.6,D,277,130,70.2,0
-7.511,138.71,315.7,D,293,130,15.8,66
-7.111,131.921,316.9,D,289.9,130,8.3,0
-7.669,131.104,320.7,D,301.4,130,12.6,0
-8.264,123.654,314,D,293.9,130,37,0
-8.532,122.922,315.6,D,295.2,130,58.6,0
-12.063,141.857,313.4,D,297.8,130,31.9,50
-12.374,142.057,323.9,D,299.7,130,90.1,77
-12.378,142.094,330,D,300.1,130,148.5,83
-12.362,142.052,317.3,D,299.4,130,42.7,63
-12.365,142.089,329.1,D,299.9,130,140.7,82
-11.203,132.361,330.4,D,303.7,130,13.9,62
-11.273,132.206,336.9,D,305.3,130,22.5,63
-11.283,132.213,327.9,D,306.6,130,8.9,57
-11.599,132.798,372.6,D,307.8,130,112.3,100
-11.601,132.808,349,D,308.2,130,46.1,93
-11.602,132.817,335.8,D,308.1,130,21.9,68
-11.615,132.908,328,D,304.1,130,13.7,65
-12.093,136.278,333.4,D,305,130,32.9,85
-12.102,136.263,325.2,D,303.4,130,15.4,22
-13.03,142.952,314.9,D,298.5,130,51,57
